"Book","Recipe","Lunch","Ingredients"
"Skinny Actifry","Coriander Chicken","No","Chicken
Garlic
Coriander
Cumin
Ground Coriander
Onions"
"Skinny Actifry","Garlic and Basil Chicken","No","Onions
Garlic
Chicken
Can of Tomatoes
Tomato Puree
Brown Sugar
Basil"
"Skinny Actifry","Garlic and Spring Onion Prawns","No","Prawns
Garlic
Spring Onions"
"Skinny Actifry","Garlic beef","No","Onions
Garlic
Ginger
Steak
Beansprouts"
"Skinny Actifry","Garlic Chicken","No","Garlic
Onions
Cumin
Turmeric
Tomatoes
Tomato Puree
Chicken
Parsley"
"Skinny Actifry","Mexican Chicken","No","Red Pepper
Yellow Pepper
Onions
Chicken
Tomato Puree
Tomatoes
Cayenne Pepper
Cumin
Oregano
Brown Sugar
Chicken Stock"
"Skinny Actifry","Pork and Apple Juice","No","Onions
Garlic
Carrots
Pork
Apple Juice
Spring Onions"
"Skinny Actifry","Spanish Butterfly Prawns","No","Onions
Garlic
Chillies
Chorizo
Prawns
Tortilla Wraps
Lettuce"
"Skinny Actifry","Spanish Fried Rice","No","Onions
Garlic
Carrots
Peas
Red Pepper
Chorizo
Paprika
Rice
Egg
Parsley"
"Skinny Actifry","Spicy Ginger Chicken Wings","No","Chillies
Green Pepper
Ginger
Garlic
Brown Sugar
Chicken"
"Skinny Actifry","Thai Pork","No","Onions
Garlic
Red Pepper
Carrots
Pork
Thai Curry Paste
Noodles
Coriander"
"Skinny Slow Cooker","BBQ chicken","No","Chicken
Tomato Puree
Smoked Paprika
Garlic Powder
Chicken Stock
Ground Cumin
Ground Coriander
Brown Sugar
Worcestershire Sauce"
"Skinny Slow Cooker","Beef Brisket","Yes","Brisket
Onions
Beef Stock
Bay Leaves
Garlic"
"Packet","Tikka Masala","No","Chicken
Red Pepper
Onions"
"Skinny Slow Cooker","Chicken and almonds","No","Chicken
Almonds
Paprika
Red Pepper
Onions
Garlic
White Wine Vinegar
Parsley
Can of Tomatoes
Can of Haricot Beans
Chilli Flakes"
"Skinny Slow Cooker","Coriander and garlic prawns","No","Prawns
Peas
Onions
Tomatoes
Ginger
Garlic
Curry Paste
Coriander
Passata"
"Skinny Slow Cooker","Fall off the bone slow cooked chicken","No","Whole Chicken
Onions
Garlic Powder
Thyme
Paprika
Onion Powder"
"Skinny Slow Cooker","Itailian meatballs","Yes","Mince
Breadcrumbs
Onions
Parsley
Egg
Garlic
Can of Tomatoes
Tomato Puree
Beef Stock
Basil
Oregano
Thyme"
"Skinny Slow Cooker","Lovley lemony garlicky chicken","Yes","Chicken
Garlic
Lemons
Onions
Honey
Cornflour
Chicken Stock
Basil"
"Skinny Slow Cooker","Ragu a la bolognese","Yes","Mince
Can of Tomatoes
Passata
Oregano
Thyme
Celery
Bay Leaves
Tomato Puree
Garlic
Onions"
"Skinny Slow Cooker","Sweet Asian Chicken","Yes","Chicken
Garlic
Onions
Honey
Tomato Puree
Soy Sauce
Carrots
Chillies
Orange Juice
Cornflour"
"Skinny Slow Cooker","Zingy Lime Chicken","No","Chicken
Lime Juice
Coriander
Chillies
Salsa"
"Slimming World 30 minute Meals","Broccoli and Garlic Pennette","Yes","Broccoli
Pasta
Garlic
Chilli Flakes"
"Slimming World 30 minute Meals","Basil and Chilli Linguine","Yes","Pasta
Onions
Garlic
Can of Tomatoes
Chilli Flakes
Basil"
"Slimming World 30 minute Meals","Bacon wrapped stuffed chicken","No","Chicken
Garlic
Tarragon
Butter
Lemon
Bacon"
"Slimming World 30 minute Meals","Griddled pork chops with mixed peppers","No","Red Pepper
Orange Pepper
Yellow Pepper
Green Pepper
Pork
Garlic
Rosemary
Lemon"
"Slimming World 30 minute Meals","Grilled mediterranen-style swordfish","No","Onions
Garlic
Red Pepper
Courgette
Can of Tomatoes
mixed herbs
Swordfish
Parsley"
"Slimming World 30 minute Meals","Herb Crusted Cod","No","Cod
Parsley
Chives
Lemon
Chilllies
Fennel Seeds
Egg"
"Slimming World 30 minute Meals","Indonesian style quick fried rice","Yes","Carrots
Fine Beans
Spring Onions
Garlic 
Ground Coriander
Curry Powder
Red Pepper
Rice
Soy Sauce
Egg
Coriander"
"Slimming World 30 minute Meals","Italian style turkey ","No","Turkey
Onions
Garlic
Tomatoes
Basil
Rocket"
"Slimming World 30 minute Meals","Lemon roasted vegetable cous cous","Yes","Red Pepper
Onions
Tomatoes
Cous Cous
Lemon
Ginger
Cinnamon
Cumin
Chicken Stock
Coriander
Mint"
"Slimming World 30 minute Meals","Mixed pepper steak with provencal rosties","No","Rosemary
Garlic
Steak"
"Slimming World 30 minute Meals","Mixed vegetable pad thai","Yes","Garlic
Ginger
Chillies
Spring Onions
Chicken Stock
Soy Sauce
Carrots
Pak Choi
Beansprouts
Noodles
Egg"
"Slimming World 30 minute Meals","Rosemary and garlic pork","No","Pork
Garlic
Rosemary
Potatoes
Spring Onions"
"Slimming World 30 minute Meals","Tandoori king prawns","No","Prawns
Tandoori Powder
Natural Yogurt
Lime Juice
Cucumber
Onions
Tomatoes
Mint
Red Wine Vinegar"
"Slimming World 30 minute Meals","Zarguela Seafood Pot","No","Onions
Garlic
Cumin
Tomatoes
Chicken Stock
Saffron
Smoked Paprika
Bouquet Garni
Fish"
"Lean In 15","Chorizo chicken and spinach","No","Chorizo
Onions
Chicken
Tomatoes
Spinach
Mozzarella
Pine Nuts"
"Lean In 15","Super-speedy Beef Stroganoff","Yes","Shallots
Mushrooms
Steak
Smoked Paprika
Beef Stock
Sour Cream
Parsley
Lemon Juice"
"Lean In 15","French style cod with black olives","No","Butter
Bacon
Onions
Garlic
Cod
Can of Tomatoes
Mozzerella
Pine Nuts
Basil"
"Lean In 15","Chicken with smoked paprika and almonds","No","Onions
Garlic
Red Pepper
Smoked Paprika
Oregano
Chicken
Tomatoes
Almonds
Spinach
Lemon Juice"
"Lean In 15","Italian Stallion Sausages","Yes","Sausages
Fennel Seeds
Shallots
Garlic
Thyme
Fennel Bulbs
Celery
Courgette
Tomatoes
Tomato Puree
Chicken Stock
Parsley"
"Lean In 15","My Oaty Chicken","No","Oats
Almonds
Smoked Paprika
Egg
Chicken
Flour
Cucumber
Tomatoes
Avocado
Lemon Juice"
"Lean In 15","Steak with Spicy Chorizo Tomatoes and Kale","No","Steak
Chorizo
Kale
Tomatoes
Vinegar"
"Lean In 15","Chicken and New Potato Hash","No","Potatoes
Chicken
Spring Onions
Mange tout
Egg
Smoked Paprika
Spinach
Chilli Flakes"
"Lean In 15","Bad-boy burrito","No","Steak
Onions
Red Pepper
Garlic
Paprika
Oregano
Tomatoes
Can of Kidney Beans
Tortilla Wraps
Coriander
Lime Juice"
"Lean In 15","Prawn and noodle stir-fry","No","Spring Onions
Garlic
Prawns
Mange Tout
Sweetcorn
Broccoli
Noodles
Soy Sauce
Fish Sauce"
"Lean In 15","In-a-hurry curry fried rice","Yes","Onions
Garlic
Ginger
Chicken
Red Pepper
Curry Powder
Rice
Spinach
Lime Juice"
"Lean In 15","Thai beef stir-fry","Yes","Star Anise
Chillies
Garlic
Spring Onions
Lemongrass
Steak
Noodles
Fish Sauce
Coriander
Lime Juice"
"Lean In 15","Piri Piri Rice with Garlic Prawns","No","Spring Onions
Chillies
Sweetcorn
Tomatoes
Piri Piri seasoning
Tin of kidney Beans
Rice
Spinach
Garlic
Prawns
Lemon Juice"
"Lean In 15","Singapore Noodles","No","Chicken
Curry Powder
Prawns
Spring Onions
Chillies
Garlic
Mange tout 
Sweetcorn
Noodles
Lime Juice
Coriander"
"Lean In 15","Cheeky chicken fried rice","Yes","Garlic
Ginger
Chicken
Spring Onions
Carrots
Peas
Sweetcorn
Rice
Soy Sauce
Chillies"
"Lean In 15","My big juicy meatballs and pasta","Yes","Onions
Garlic
Thyme
Can of Tomatoes
Meatballs
Spinach
Pasta
Basil"
"Lean In 15","Sausage and lentil casserole","Yes","Sausages
Red Pepper
Courgette
Tomatoes
Thyme
Puy Lentils
Chicken Stock
Parsley"
"Lean In 15","Teriyaki Chicken Stir-fry","Yes","Spring Onions
Garlic
Ginger
Chicken
Pak Choi
Noodles
Spinach
Honey
Soy Sauce
Rice Wine Vinegar
Chillies"
"2 in 1 Actifry Book","Steak and Potato Wedges","No","Steak
Potatoes"
"2 in 1 Actifry Book","Teriyaki Chicken with Spring Onion Rice","Yes","Spring Onions
Rice
Peas
Chicken
Teriyaki Marinade"
"Art of Thai Cooking","Stir Fried Chicken with Cashew Nuts","No","Chicken
Cashew Nuts
Sweetcorn
Carrots
Onions
Mushrooms
Chillies
Garlic
Oyster Sauce
Fish Sauce"
"Pressure Cooker Book","Beef and Guinness Stew","Yes","Red Peppers
Onions
Mushrooms
Garlic
Braising Steak
Flour
Tomato Paste
Carrots
Thyme
Nutmeg
Beef Stock
Guinness"
"Pressure Cooker Book","Chicken Chasseur","Yes","Butter
Chicken
Onions
Garlic
Mushrooms
Red Wine
Tomato Puree
Thyme
Chicken Stock"
"Pressure Cooker Book","Beef Bourguignon","Yes","Braising Steak
Red Wine
Beef Stock
Bacon
Mushrooms
Flour
Shallots
Garlic
Onion
Bay Leaves
Thyme
Potatoes"
"Pressure Cooker Book","Sausage Casserole","Yes","Sausages
Bacon
Onions
Garlic
Smoked Paprika
Can of Tomatoes
Chicken Stock
Tomato Puree
Worcestershire Sauce
Brown Sugar
Mixed Herbs
Bay Leaves
Thyme
White Wine
Mixed Beans
Cornflour"
"Pressure Cooker Book","Mediterranean Fish Stew","No","Parsley
Garlic
Lemon
Onions
Potatoes
Paprika
Cayenne Pepper
Can of Tomatoes
Fish Stock cube
Prawns
Can of Chickpeas
White Fish"
"Cooking With Coolio","Kung Fu Chicken","No","Chicken
Onions
Garlic
Can of Tomatoes
Chilli Sauce
Soy Sauce"
"Cooking With Coolio","Fresh Pickin' Raspberry Chicken","No","Raspberries
Sugar
Chicken
Balsamic Vinegar
Onions
Yellow Peppers
Garlic
Flour"
"Cooking With Coolio","Chicken a la Jarez Marsalala","Yes","Flour
White Wine
Lemon Juice
Garlic
Onions
Mushrooms 
Chicken"
"Cooking With Coolio","It's Stew Beefy","No","Steak
Onions
Garlic
Potatoes
Broccoli
Carrots"
"Cooking With Coolio","Fork Steak","No","Steak
Garlic
Balsamic Vinegar
Onions
Can of Beer
Mushrooms
Red Pepper
Yellow Pepper"
"Cooking With Coolio","Unwrinkled Beef","No","Garlic
Onions
Steak
BBQ Sauce"
"Cooking With Coolio","Karate Meat","Yes","Garlic
Onions
Steak
Chilli Powder
Chinese 5 Spice
Rice
Hoisin Sauce"
"Cooking With Coolio","Shrimp Ali Bubba","No","Garlic
Onions
Shrimp
Lemon Pepper
Chilli Powder
Can of Beer
Rice"
"Loose","Indonesian Beef Curry","No","Beef
Indonesian Curry Paste
Coconut Milk
Red Pepper
Green Pepper
Onions
Carrots
Garlic
Lime Juice
Lemongrass
Ginger
Sugar
Chillies"
"Loose","Thai Chicken Curry","No","Chicken
Thai Green Curry Paste
Coconut Milk
Fish Sauce
Red Pepper
Green Beans
Water Chestnuts
Garlic
Lemongrass
Bay Leaves
Chillies"
"Loose","Vietnamese Chicken Curry","No","Chicken
Vietnamese Curry Paste
Chicken Stock
Potatoes
Carrots
Onions
Garlic
Lemongrass
Bay leaves
Coconut Milk
Sugar
Chillies"
"Bubba Gump ","Alabama Style Shrimp Bake","No","Butter
Lemon Juice
Worcestershire Sauce
Rosemary
Chilli Flakes
Hot Sauce
Garlic
Prawns
Lemon
Onions"
"Bubba Gump ","Lemon Garlilc Shrimp Kabobs","No","Prawns
Onions
Garlic
Lemon Juice
Soy Sauce
Ginger"
"Bubba Gump ","Medal of Honor Shrimp Grill","No","Prawns
Sherry
Sesame Oil
Soy Sauce
Sugar
Garlic Powder
Ginger"
"Bubba Gump ","Jennys Southwestern Shrimp","No","Prawns
Lime Juice
Coriander
Tequila
Chillies
Garlic"
"Bubba Gump ","Shrimp 'n' Chicken Gumbo","Yes","Chicken
Flour
Onions
Celery
Green Pepper
Spring Onions
Garlic
Thyme
Oregano
Bay Leaves
Chicken Stock
Tomato Puree
Chorizo
Shrimp
Rice"
"Bubba Gump ","Four-Square Gospel Creole","Yes","Shrimp
Onions
Green Pepper
Celery
Garlic
Butter
Can of Tomatoes
Tomato Puree
Worcestershire Sauce
Oregano
Thyme
Chilli Powder
Rice"
"Bubba Gump ","Shrimp Scampi","No","Prawns
Onions
Garlic
Butter
Lemon Juice
Tarragon
Worcestershire Sauce
Hot Sauce
Pasta
Parsley"
"Bubba Gump ","Shrimp and Refried Rice","No","Shrimp
Onions
Red Pepper
Water Chestnuts
Broccoli
Mushrooms
Soy Sauce
Egg
Rice"
"Bubba Gump ","Tangy Honeyed Shrimp","No","Prawns
Garlic
Ginger
Chicken Stock
Cornflour
Honey
Ketchup
Vinegar
Sherry
Soy Sauce
Chilli Flakes
Coriander
Spring Onions
Rice"
"Bubba Gump ","Creole Shrimp Jambalaya","Yes","Shrimp
Carrots
Onions
Green Peppers
Celery
Garlic
Can of Tomatoes
Chicken Stock
Passata
Rice
Thyme
Chilli Powder
Sugar
Parsley
Hot Sauce"
"Lose Weight for Good","Prawn Curry with Peas","No","Mustard Seeds
Cumin
Onions
Chillies
Garlic
Ginger
Curry Leaves
Tomatoes
Saffron
Fish Stock
Coconut Milk
Prawns
Peas
Spinach
Rice"
"Lose Weight for Good","Fish in a bag Chinese Style","No","Soy Sauce
Rice Wine
Peppercorns
Cornflour
Pak Choi
Broccoli
Beansprouts
Fish
Garlic
Ginger
Chillies
Rice"
"Lose Weight for Good","Baked Cod with Beans, Courgettes and Chorizo","No","Smoked Paprika
Cod
Courgette
Garlic
Fish Stock
Oregano
Butter Beans
Tomatoes
Chorizo
Lemon
Parsley"
"Lose Weight for Good","Chicken Casserole","No","Chicken
Red Wine
Bacon
Onions
Carrots
Celery
Thyme
Mushrooms
Chicken Stock
Cornflour
Parsley
Bran Flakes
Onion Salt
Chicken Stock
Sage
Thyme
Almonds"
"Lose Weight for Good","Jerk Chicken, Cauliflower Rice 'n' Peas","No","Chicken
Jerk Seasoning
Onions
Red Pepper
Chillies
Can of Tomatoes
Chicken Stock
Can of Kidney Beans
Cauliflower Rice
Coriander"
"Lose Weight for Good","Chicken with Tomato, Marscapone and Basil","No","Chicken
Chicken Stock
Onions
Garlic
Tomato Puree
Can of Tomatoes
Oregano
Basil
Balsamic Vinegar
Marscapone Cheese
Chilli Flakes
Green Beans"
"Lose Weight for Good","Chicken Tikka Masala","No","Chicken
Lemon
Ginger
Garlic
Curry Powder
Smoked Paprika
Greek Yogurt
Onions
Ginger
Turmeric
Paprika
Ground Coriander
Tomato Puree
Can of Tomatoes
Red Pepper
Green Pepper
Natural Yogurt
Coriander"
"Lose Weight for Good","Chicken Stay","Yes","Ginger
Lemongrass
Soy Sauce
Fish Sauce
Turmeric
Chillies
Shallots
Lime Juice
Peanut Butter
Hot Sauce
Soy Sauce
Sugar
Cucumber"
"Lose Weight for Good","Turkey San Choy Bow","No","Onions
Garlic
Ginger
Chillies
Mince
Carrots
Courgette
Mushrooms
Soy Sauce
Oyster Sauce
Rice Wine Vinegar
Beansprouts
Spring Onions
Coriander
Lettuce"
"Lose Weight for Good","Beef Stew and Dumplings","No","Beef
Onions
Celery
Ginger
Beef Stock
Bay Leaves
Rosemary
Carrots
Turnips
Mushrooms
Mustard
Parsley
Flour
Butter"
"Lose Weight for Good","Pork Tenderloin with Japanese Ponzu Dressing","No","Pork
Pak Choi
Sesame Seeds
Soy Sauce
Rice Wine
Garlic
Ginger
Mirin
Soy Sauce
Rice Wine Vinegar
Yuzu Juice
Seaweed flakes"
"Lose Weight for Good","Sticky Pork Chops","No","Pork
Ketchup
Maple Syrup
Worcestershire Sauce
Mustard
Cayenne Pepper
Red Cabbage
White Cabbage
White Wine Vinegar
Greek Yogurt"
"Lose Weight for Good","Pea and Ham Pasta","Yes","Pasta
Onions
Parma Ham
Garlic
Peas
Mint
Parsley
Crème Fraiche
Lemon"
"Lose Weight for Good","Easy Pizza with Parma Ham and Mozzarella","No","Tortilla Wraps
Can of Tomatoes
Tomato Puree
Oregano
Garlic
Mushrooms
Parma Ham
Salami
Mozzerella
Rocket
Basil"
